refdes,pin,voltage,current
J1,3,48.0366,3.33287e-05
J1,1,48.0366,3.33287e-05
J1,2,48.0366,3.33287e-05
J1,6,0.0365655,-1.99972e-05
J1,5,0.0365655,-1.99972e-05
J1,4,0.0365655,-1.99972e-05
J1,pdna_pin_M_1,0.0365655,-1.99972e-05
J1,pdna_pin_M_2,0.0365655,-1.99972e-05
D1,1,89.9982,-3.715300000095567e-06
R11,2,0.0,-4.734899999858655e-06
J2,3,89.0843,-0.599024
J2,1,89.0846,-0.60123
J2,2,89.0844,-0.599743
J2,6,0.0516917,0.600303
J2,5,0.0517642,0.599868
J2,4,0.0517714,0.599825
L1,1,48.0366,-0.0001
R11,1,0.0360018,-1.7999
D1,2,89.1982,1.8
R3,2,89.1919,-1.8
R3,1,89.0911,1.8
IC4,1,0.0373921,0.59359
IC4,2,0.0373297,0.599656
IC4,3,0.0372567,0.606757
IC4,5,0.0481314,-0.450328
IC4,6,0.048114,-0.44864
IC4,7,0.0481192,-0.449143
IC4,8,0.0481474,-0.451892
