refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,48.0366,3.33287e-05,0
VCOMP0,VCOMP0-1,48.0366,3.33287e-05,0
VCOMP0,VCOMP0-2,48.0366,3.33287e-05,0
VCOMP0,VCOMP0-3,0.0365655,-1.99972e-05,0
VCOMP0,VCOMP0-4,0.0365655,-1.99972e-05,0
VCOMP0,VCOMP0-5,0.0365655,-1.99972e-05,0
VCOMP0,VCOMP0-6,0.0365655,-1.99972e-05,0
VCOMP0,VCOMP0-7,0.0365655,-1.99972e-05,0
VCOMP2,VCOMP2-0,89.9982,1.80009,0
VCOMP2,VCOMP2-1,0,-1.80009,0
VCOMP1,VCOMP1-0,89.0843,-0.599024,0.166667
VCOMP1,VCOMP1-1,89.0846,-0.60123,0.166667
VCOMP1,VCOMP1-2,89.0844,-0.599743,0.166667
VCOMP1,VCOMP1-3,0.0516917,0.600303,0.166667
VCOMP1,VCOMP1-4,0.0517642,0.599868,0.166667
VCOMP1,VCOMP1-5,0.0517714,0.599825,0.166667
VCOMP3,VCOMP3-0,48.0366,-0.0001,100000
VCOMP3,VCOMP3-1,0.0360018,0.0001,100000
VCOMP4,VCOMP4-0,89.9982,-9.37153e-05,500000
VCOMP4,VCOMP4-1,0,8.52651e-05,500000
VCOMP5,VCOMP5-0,89.9982,-1.8,5e-07
VCOMP5,VCOMP5-1,89.1982,1.8,5e-07
VCOMP6,VCOMP6-0,89.1919,-1.8,0.028
VCOMP6,VCOMP6-1,89.0911,1.8,0.028
VCOMP7,VCOMP7-0,0,1.8,0.01
VCOMP7,VCOMP7-1,0.0360018,-1.8,0.01
VCOMP8,VCOMP8-0,0.0373921,0.59359,0.0102857
VCOMP8,VCOMP8-1,0.0373297,0.599656,0.0102857
VCOMP8,VCOMP8-2,0.0372567,0.606757,0.0102857
VCOMP8,VCOMP8-3,0.0481314,-0.450328,0.0102857
VCOMP8,VCOMP8-4,0.048114,-0.44864,0.0102857
VCOMP8,VCOMP8-5,0.0481192,-0.449143,0.0102857
VCOMP8,VCOMP8-6,0.0481474,-0.451892,0.0102857
